typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,156,,,M,,0,,,328,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,48259012.0,,48259012.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,332,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,9230747.0,,9230747.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,426,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,485538.0,,485538.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,531,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,398781598.0,,398781598.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,533,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,130044392.0,,130044392.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,548,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,2952006.0,,2952006.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,562,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,123394583.0,,123394583.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,574,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,26694.0,,26694.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,624,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,18163346.0,,18163346.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,626,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,213295.0,,213295.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,637,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,1053.0,,1053.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,662,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,31245.0,,31245.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,694,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,158986271.0,,158986271.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,728,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,1345967925.0,,1345967925.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,776,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,24410.0,,24410.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,798,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,14730949.0,,14730949.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,854,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,False,,False,1110645.0,,1110645.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,4,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,8219435.0,,8219435.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,8,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,111605395.0,,111605395.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1679564324560.0,,1679564324560.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,12,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,695349488.0,,695349488.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,24,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,15836610891.0,,15836610891.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,28,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,8936.0,,8936.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,31,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,16282031.0,,16282031.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,32,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,5716387424.0,,5716387424.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,36,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,65590213136.0,,65590213136.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,40,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,1780566479.0,,1780566479.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,48,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,252111471.0,,252111471.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,50,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,662609783.0,,662609783.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,51,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,26994083.0,,26994083.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,52,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,17458586.0,,17458586.0,0,False,True
C,A,20150101,2015,52,2015,156,,,M,,0,,,56,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,15276544951.0,,15276544951.0,0,False,True
